INFO buildroot.py:667:  Mock Version: 6.1
DEBUG util.py:461:   libevent                      aarch64 2.1.12-14.fc41              build        1.5 MiB
DEBUG util.py:461:   libffi                        aarch64 3.4.6-3.fc41                build      282.4 KiB
DEBUG util.py:461:   libgcc                        aarch64 14.2.1-7.fc41               build      218.8 KiB
DEBUG util.py:461:   libgomp                       aarch64 14.2.1-7.fc41               build      493.9 KiB
DEBUG util.py:461:   libidn2                       aarch64 2.3.8-1.fc41                build      560.7 KiB
DEBUG util.py:461:   libmodulemd                   aarch64 2.15.0-14.fc41              build      979.9 KiB
DEBUG util.py:461:   libmount                      aarch64 2.40.4-1.fc41               build      412.9 KiB
DEBUG util.py:461:   libnghttp2                    aarch64 1.62.1-3.fc41               build      198.2 KiB
DEBUG util.py:461:   libpsl                        aarch64 0.21.5-4.fc41               build      196.6 KiB
DEBUG util.py:461:   librepo                       aarch64 1.19.0-1.fc41               build      292.3 KiB
DEBUG util.py:461:   libselinux                    aarch64 3.7-5.fc41                  build      265.1 KiB
DEBUG util.py:461:   libsemanage                   aarch64 3.7-2.fc41                  build      361.5 KiB
DEBUG util.py:461:   libsepol                      aarch64 3.7-2.fc41                  build      874.0 KiB
DEBUG util.py:461:   libsmartcols                  aarch64 2.40.4-1.fc41               build      220.2 KiB
DEBUG util.py:461:   libsolv                       aarch64 0.7.32-4.fc41               build        1.0 MiB
DEBUG util.py:461:   libssh                        aarch64 0.10.6-8.fc41               build      581.3 KiB
DEBUG util.py:461:   libssh-config                 noarch  0.10.6-8.fc41               build      277.0   B
DEBUG util.py:461:   libstdc++                     aarch64 14.2.1-7.fc41               build        2.7 MiB
DEBUG util.py:461:   libtasn1                      aarch64 4.20.0-1.fc41               build      220.4 KiB
DEBUG util.py:461:   libtool-ltdl                  aarch64 2.4.7-12.fc41               build      222.2 KiB
DEBUG util.py:461:   libunistring                  aarch64 1.1-8.fc41                  build        1.8 MiB
DEBUG util.py:461:   libuuid                       aarch64 2.40.4-1.fc41               build       67.9 KiB
DEBUG util.py:461:   libverto                      aarch64 0.3.2-9.fc41                build      197.5 KiB
DEBUG util.py:461:   libxcrypt                     aarch64 4.4.38-7.fc41               build      272.6 KiB
DEBUG util.py:461:   libxml2                       aarch64 2.12.10-1.fc41              build        1.9 MiB
DEBUG util.py:461:   libyaml                       aarch64 0.2.5-16.fc41               build      134.6 KiB
DEBUG util.py:461:   libzstd                       aarch64 1.5.7-1.fc41                build      732.1 KiB
DEBUG util.py:461:   lua-libs                      aarch64 5.4.7-3.fc41                build      329.1 KiB
DEBUG util.py:461:   lz4-libs                      aarch64 1.10.0-1.fc41               build      261.6 KiB
DEBUG util.py:461:   mpfr                          aarch64 4.2.1-5.fc41                build      818.9 KiB
DEBUG util.py:461:   ncurses-base                  noarch  6.5-2.20240629.fc41         build      326.3 KiB
DEBUG util.py:461:   ncurses-libs                  aarch64 6.5-2.20240629.fc41         build        2.2 MiB
DEBUG util.py:461:   nettle                        aarch64 3.10-3.fc41                 build      956.7 KiB
DEBUG util.py:461:   openldap                      aarch64 2.6.9-1.fc41                build      761.3 KiB
DEBUG util.py:461:   openssl-libs                  aarch64 1:3.2.4-1.fc41              build        6.4 MiB
DEBUG util.py:461:   p11-kit                       aarch64 0.25.5-3.fc41               build        2.6 MiB
DEBUG util.py:461:   p11-kit-trust                 aarch64 0.25.5-3.fc41               build      655.6 KiB
DEBUG util.py:461:   pam-libs                      aarch64 1.6.1-7.fc41                build      223.2 KiB
DEBUG util.py:461:   pcre2                         aarch64 10.44-1.fc41.1              build      905.5 KiB
DEBUG util.py:461:   pcre2-syntax                  noarch  10.44-1.fc41.1              build      251.6 KiB
DEBUG util.py:461:   popt                          aarch64 1.19-7.fc41                 build      272.9 KiB
DEBUG util.py:461:   publicsuffix-list-dafsa       noarch  20250116-1.fc41             build       68.5 KiB
DEBUG util.py:461:   readline                      aarch64 8.2-10.fc41                 build      753.3 KiB
DEBUG util.py:461:   rpm                           aarch64 4.20.1-1.fc41               build        3.3 MiB
DEBUG util.py:461:   rpm-build-libs                aarch64 4.20.1-1.fc41               build      198.7 KiB
DEBUG util.py:461:   rpm-libs                      aarch64 4.20.1-1.fc41               build      734.0 KiB
DEBUG util.py:461:   rpm-sequoia                   aarch64 1.7.0-5.fc41                build        2.3 MiB
DEBUG util.py:461:   sdbus-cpp                     aarch64 1.5.0-3.fc41                build      365.8 KiB
DEBUG util.py:461:   sed                           aarch64 4.9-3.fc41                  build        1.0 MiB
DEBUG util.py:461:   setup                         noarch  2.15.0-8.fc41               build      720.7 KiB
